현재 몇학년이신가요? (4학년 이상은 4학년에 체크),학부는 어디인가요?,,어느 도시에서 공부하고 있나요?,나라 레이블,당신의 도시나 나라에서 ChatGPT는 금지되었나요?,대학에서 ChatGPT 사용이 금지되었나요?,ChatGPT 사용에 익숙하신가요?,학문적 작업에 ChatGPT를 사용해본 적이 있나요?,주당 공부 시간은 얼마나 되나요?,ChatGPT를 제외한 공부 도구 중 가장 자주 사용하는 것은 무엇인가요?,그 도구의 단점은 무엇인가요?,공부 이외의 목적으로 ChatGPT를 가장 많이 사용하는 이유는 무엇인가요?,다음 중 ChatGPT의 장점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [집중도 향상],다음 중 ChatGPT의 장점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [효율적인 학습],다음 중 ChatGPT의 장점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [창의력],다음 중 ChatGPT의 장점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [동기부여],다음 중 ChatGPT의 장점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [시간절약],다음 중 ChatGPT의 단점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [Being overdependent],다음 중 ChatGPT의 단점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [Lack of creativity],다음 중 ChatGPT의 단점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [Induce laziness or deteriorate motivation],다음 중 ChatGPT의 단점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [Reduce self-accomplishment and improvement],다음 중 ChatGPT의 단점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [Ethical issue],다음 중 ChatGPT의 단점을 1(별로 못느낀다)에서 5(많이 느낀다)까지 평가해주세요. [Impersonal learning experience],ChatGPT는 학문적으로 적합하다,"대학에서 ChatGPT 사용이 금지된다면, 이 정책에 동의하시나요?",대학은 ChatGPT 사용을 장려해야 한다,대학은 ChatGPT 사용법 교육을 제공해야 한다,3년 이내에 ChatGPT가 교육에 없어서는 안 될 도구가 될 것이라고 생각하시나요?,ChatGPT는 복잡한 주제를 이해하는 데 도움을 준다,공부할때 ChatGPT를 사용하는 것이 편안하다,ChatGPT가 3년 안에 대학교육의 표준 도구가 될 것이라고 생각하시나요?,ChatGPT 사용이 나의 성적 향상에 도움이 될 것이다,ChatGPT를 어떤 목적으로 유용하게 사용하셨나요?,기존 온라인 검색에 비해 ChatGPT는 시간을 더 절약해준다,학문적 목적으로 ChatGPT를 사용하면서 어려움을 겪은 적이 있나요?,"있다면, 그 어려움은 무엇인가요?",왜 ChatGPT를 사용하시나요?,동료나 친구에게 ChatGPT를 추천하시겠나요?,알고 있던 ChatGPT의 문제점을 모두 체크해 주세요 [Trained data up to 2021 ],알고 있던 ChatGPT의 문제점을 모두 체크해 주세요 [할루시Yes이션 현상(Ex. 세종대왕 맥북 사용썰) ],알고 있던 ChatGPT의 문제점을 모두 체크해 주세요 [Training data biases],알고 있는 ChatGPT의 문제점을 모두 체크해 주세요 [Dependence on Training Data],알고 있던 ChatGPT의 문제점을 모두 체크해 주세요 [Unable to access the internet],ChatGPT의 문제점들을 이해하고 있나요?,ChatGPT로부터 받은 정보의 신뢰도를 검증하시나요?,ChatGPT로부터 받은 정보를 다른 출처와 비교 검증하시나요?,어떻게 ChatGPT에 질문하시나요? [기본적인 한 두 줄의 질문],어떻게 ChatGPT에 질문하시나요? [Few-shot (GPT에게 필요한 정보를 주입해 원하는 결과를 도출 )],"어떻게 ChatGPT에 질문하시나요? [Emphasizing (capital letters, brackets etc)]","어떻게 ChatGPT에 질문하시나요? [ChatGPT에게 역할 부여하기(예시: 과외 선생님, For self debate 상대)]",어떻게 ChatGPT에 질문하시나요? [Step by step lists ],ChatGPT에게 하는 질문(프롬프트)을 적절하게 작성할 수 있나요?,ChatGPT가 당신의 질문을 잘못 이해한 적이 있나요?,"있다면, 얼마나 자주 그런 일이 발생하나요?",ChatGPT에서 얻은 정보를 학문적 작업에 얼마나 능숙하게 통합하시나요?,ChatGPT에서 얻은 정보를 학문 작업에 참조하는 것에 편안하게 느끼시나요?,ChatGPT 사용의 윤리적 고려사항을 알고 계신가요?,어떤 Ethical issue를 인지하고 계신가요?,ChatGPT가 학업 성과에 긍정적인 영향을 줬나요?,ChatGPT를 통한 학습경험을 어떻게 평가하시나요?,학습 도구로 ChatGPT를 사용할 수 없게 된다면 어떻게 느끼시나요?
Freshman,Engineering,,,South Korea,No,No,No,1,Less than 10 hours,Library books / Textbooks,Too much information,Enjoyable,1,4,3,1,4,2,3,4,3,5,4,3,3,3,5,3,4,3,2,4,"To write an assignment, To research information",4,Yes,Inaccurate of information,Providing personal learning needs,3,No,No,No,,No,3,5,Yes,Yes,Yes,Yes,No,No,2,Yes,3,2,2,5,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",3,3,3
Junior,Medicine,,,South Korea,No,No,Yes,5,More than 50 hours,Library books / Textbooks,Time consuming,External activities like competitions,3,4,4,2,4,1,1,2,1,1,2,4,1,4,5,5,5,4,3,4,"To write an assignment, To research information, To solve problems",4,Yes,"Inaccurate of information, Unreliable source","New ideas, Problem solving",5,Yes,Yes,Yes,,Yes,4,5,Yes,Yes,Yes,Yes,No,Yes,3,Yes,2,4,4,2,Biased (Ex. Politically biased information based on trained data),4,4,2
Junior,Engineering,,,South Korea,No,No,No,3,Less than 10 hours,Google,"Incorrect information, Irrelevant information, Too much information",Instead of traditional search,2,3,2,3,3,3,2,3,1,2,2,2,5,2,2,2,5,5,3,1,"To generate ideas, To understand new concepts, To research information",4,Yes,"Generating irrelevant content, Biased or subjective responses","New ideas, Instant response and feedback",4,No,No,No,,No,1,5,Yes,No,Yes,Yes,No,No,1,Yes,3,3,4,4,"Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",2,2,3
Senior,Engineering,,,South Korea,No,No,No,3,Less than 10 hours,Google,Incorrect information,Hobby activities,2,4,3,2,5,4,2,4,1,2,2,4,4,2,4,4,4,5,3,3,"To write an assignment, To research information",4,Yes,"Inaccurate of information, Unreliable source","Problem solving, Instant response and feedback",5,No,No,Yes,,No,2,4,Yes,Yes,No,Yes,No,Yes,1,Yes,3,2,5,2,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",3,2,3
Junior,Medicine,,,South Korea,No,No,Yes,4,Between 10 - 20 hours,Library books / Textbooks,"Time consuming, Too much information",Meeting quick assignment deadlines,3,4,3,3,4,4,4,3,4,3,4,4,2,4,4,4,4,3,2,4,To write an assignment,4,Yes,Format and structure,Instant response and feedback,4,Yes,Yes,Yes,,No,4,3,Yes,Yes,No,No,Yes,Yes,3,Yes,4,2,4,3,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",3,3,2
Freshman,Social Science,,,South Korea,I don't know,I don't know,No,3,Between 10 - 20 hours,Library books / Textbooks,Time consuming,None,3,3,3,3,4,3,3,3,3,4,3,2,4,3,4,2,4,3,2,3,"To write an assignment, To research information",4,Yes,Generating irrelevant content,Instant response and feedback,3,Yes,No,Yes,,No,3,4,Yes,Yes,No,No,No,No,2,Yes,3,4,4,3,Biased (Ex. Politically biased information based on trained data),3,4,2
Senior,Business Administration,,,South Korea,No,No,Yes,4,More than 50 hours,Google,Too much information,For fun,1,2,2,4,4,2,5,1,1,2,1,3,1,4,4,3,5,4,2,5,"To research information, To solve problems",3,Yes,"Inaccurate of information, Unreliable source",Instant response and feedback,4,Yes,Yes,Yes,,Yes,4,5,Yes,Yes,No,Yes,Yes,Yes,3,Yes,3,4,3,3,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",4,4,3
Freshman,Social Science,,,South Korea,No,No,Yes,4,Between 10 - 20 hours,Youtube,Incorrect information,Supplementary learning,2,3,2,2,4,3,3,3,4,2,3,3,4,3,2,1,3,3,1,4,"To understand new concepts, To research information",4,Yes,"Inaccurate of information, Generating irrelevant content, Unreliable source","Instant response and feedback, Providing personal learning needs",3,Yes,Yes,Yes,,Yes,4,2,Yes,No,Yes,Yes,Yes,Yes,2,Yes,5,4,4,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",3,3,3
Freshman,Medicine,,,South Korea,No,Yes,No,4,Between 10 - 20 hours,Google,Incorrect information,Curiosity resolution,3,4,5,3,4,3,4,2,3,5,3,3,3,3,4,5,3,4,4,4,"To understand new concepts, To write an assignment",4,Yes,"Inaccurate of information, Unreliable source",Instant response and feedback,5,Yes,No,No,,No,3,5,Yes,Yes,Yes,Yes,No,Yes,3,Yes,4,2,2,4,"Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,4,4
Freshman,Social Science,,,South Korea,Yes,No,Yes,4,Between 20 - 30 hours,Google,"Incorrect information, Irrelevant information, Too much information",Frequently used as an email reference when contacting,3,4,2,4,5,4,4,4,2,3,2,4,2,4,5,4,4,4,3,4,"To understand new concepts, 이메일 형식",4,Yes,"Format and structure, Biased or subjective responses, Unreliable source","Instant response and feedback, Providing personal learning needs",4,Yes,No,Yes,,Yes,4,3,Yes,No,No,Yes,Yes,Yes,3,Yes,3,3,3,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,4,2
Sophomore,Engineering,,,South Korea,No,No,Yes,4,Between 20 - 30 hours,Google,"Incorrect information, Too much information",Quick information retrieval,1,4,1,1,5,4,1,2,1,1,3,4,1,4,4,4,4,4,4,4,"To understand new concepts, To solve problems",5,Yes,"Format and structure, Unreliable source",Instant response and feedback,5,Yes,Yes,Yes,,Yes,5,4,Yes,Yes,Yes,Yes,No,Yes,4,Yes,2,3,4,4,Plagiarism (Ex. Writing report paper),4,4,1
Senior,Science,,,South Korea,No,No,No,4,Less than 10 hours,Library books / Textbooks,Irrelevant information,Coding,3,4,3,2,5,2,4,3,2,1,4,4,1,5,5,5,5,3,3,4,"To write an assignment, To research information, To solve problems",4,Yes,Unreliable source,Instant response and feedback,4,No,Yes,Yes,,Yes,4,4,Yes,Yes,Yes,No,Yes,Yes,4,Yes,3,2,4,2,Plagiarism (Ex. Writing report paper),3,4,2
Sophomore,Engineering,,,South Korea,No,I don't know,No,3,Less than 10 hours,Google,Too much information,For entertainment when bored alone,2,4,1,3,4,4,4,2,2,1,2,4,3,4,4,2,4,4,1,4,"To understand new concepts, To research information",5,Yes,"Inaccurate of information, Biased or subjective responses","Instant response and feedback, Providing personal learning needs",5,Yes,Yes,Yes,,Yes,4,4,Yes,Yes,No,Yes,Yes,Yes,2,Yes,4,4,2,2,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",4,4,1
Senior,Engineering,,,South Korea,No,No,Yes,5,Between 20 - 30 hours,Google,"Time consuming, Irrelevant information",Editing sentences,3,4,2,2,4,4,4,4,4,3,4,3,2,2,2,4,5,5,2,2,To understand new concepts,4,Yes,"Inaccurate of information, Generating irrelevant content, Biased or subjective responses",Instant response and feedback,3,Yes,Yes,Yes,,No,4,5,Yes,No,Yes,Yes,No,Yes,4,Yes,3,4,4,4,"Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,5,4
Sophomore,Social Science,,,South Korea,No,No,No,1,Less than 10 hours,"Friends, collegues, professors","Incorrect information, Too much information",Rarely used,1,1,1,1,3,2,2,3,3,3,3,2,4,3,2,2,2,2,1,2,To generate ideas,3,No,,Providing personal learning needs,1,Yes,No,No,,Yes,4,1,No,Yes,Yes,No,No,No,1,Yes,2,1,1,2,Intellectual Property (Ex. Usage of unauthorized IP during model training),3,2,3
Junior,Education,,,South Korea,No,No,Yes,4,Less than 10 hours,Google,Incorrect information,Quick responses,1,4,2,3,4,3,4,3,1,3,1,3,1,3,5,4,5,5,3,5,"To generate ideas, To understand new concepts, To research information",5,Yes,"Inaccurate of information, Biased or subjective responses, Unreliable source",Instant response and feedback,5,Yes,Yes,Yes,,Yes,4,4,Yes,Yes,No,No,Yes,Yes,2,Yes,4,2,4,3,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",5,4,1
Senior,Business Administration,,,South Korea,No,No,No,1,Less than 10 hours,Library books / Textbooks,Time consuming,Seeking insights,2,3,4,4,4,3,4,2,2,2,4,2,4,3,4,2,5,4,2,2,"To generate ideas, To understand new concepts, To research information",4,No,"Inaccurate of information, Generating irrelevant content",New ideas,4,Yes,Yes,Yes,,Yes,5,5,No,Yes,No,Yes,Yes,Yes,2,No,1,2,2,2,Biased (Ex. Politically biased information based on trained data),3,3,4
Junior,Engineering,,,South Korea,No,No,Yes,5,Between 10 - 20 hours,Google,Too much information,Efficient for finding information,1,4,2,2,4,4,4,4,2,3,2,5,2,5,5,5,5,5,3,5,"To write an assignment, To research information, To solve problems",5,No,,"Instant response and feedback, Providing personal learning needs",5,Yes,Yes,Yes,,Yes,5,5,Yes,No,No,Yes,Yes,Yes,5,Yes,2,4,3,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",5,5,1
Freshman,Social Science,,,South Korea,No,No,Yes,5,Between 10 - 20 hours,Library books / Textbooks,Time consuming,Content creation,4,4,1,4,5,5,5,5,4,5,3,4,2,5,5,5,4,5,5,4,"To generate ideas, To understand new concepts, To write an assignment",5,Yes,"Inaccurate of information, Biased or subjective responses",New ideas,5,Yes,Yes,Yes,,No,4,5,Yes,No,Yes,Yes,Yes,Yes,4,Yes,2,4,4,3,Plagiarism (Ex. Writing report paper),5,4,2
Junior,Science,,,South Korea,No,No,No,4,Between 10 - 20 hours,Google,Irrelevant information,To help with writing,2,3,1,1,4,3,3,3,3,2,4,3,1,4,4,2,3,3,3,3,To generate ideas,3,Yes,"Generating irrelevant content, Unreliable source","New ideas, Instant response and feedback",4,No,Yes,Yes,,No,3,2,No,No,Yes,Yes,Yes,Yes,4,Yes,3,4,2,5,"Biased (Ex. Politically biased information based on trained data), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",2,4,2
Freshman,Social Science,,,South Korea,Yes,No,Yes,5,Between 10 - 20 hours,Library books / Textbooks,"Time consuming, Too much information",Content creation,4,4,2,4,5,4,5,3,4,3,5,5,2,5,4,5,5,5,3,4,"To generate ideas, To understand new concepts, To write an assignment",4,Yes,"Inaccurate of information, Generating irrelevant content, Biased or subjective responses","New ideas, Problem solving",4,Yes,Yes,Yes,,No,5,5,Yes,No,Yes,Yes,Yes,Yes,4,Yes,2,4,4,4,Plagiarism (Ex. Writing report paper),5,4,2
Junior,Engineering,,,South Korea,No,No,Yes,5,Between 20 - 30 hours,Google,Too much information,Watching YouTube,3,4,3,4,4,3,3,4,4,3,3,4,2,4,4,4,4,4,3,5,"To write an assignment, To solve problems",4,Yes,Inaccurate of information,"New ideas, Problem solving",4,Yes,Yes,Yes,,Yes,4,3,No,Yes,No,Yes,Yes,Yes,4,Yes,3,3,4,4,Plagiarism (Ex. Writing report paper),4,4,2
Senior,Arts,,,South Korea,No,No,Yes,2,Between 20 - 30 hours,"Friends, collegues, professors","Time consuming, Irrelevant information, Too much information",Simple question searches,4,3,1,1,5,5,4,5,3,3,5,2,4,3,3,2,4,4,2,4,"To understand new concepts, To research information, 시간 단축을 할 수있는 새로운 툴",5,Yes,"Inaccurate of information, Generating irrelevant content, Format and structure, Biased or subjective responses",Instant response and feedback,4,Yes,Yes,Yes,,Yes,4,5,Yes,Yes,Yes,Yes,No,Yes,3,Yes,3,4,4,5,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",2,3,4
Freshman,Education,,,South Korea,No,No,No,4,Between 20 - 30 hours,Google,Incorrect information,Because it's fun,2,1,4,4,4,4,1,4,4,1,4,4,1,5,5,5,3,2,2,1,"To generate ideas, To understand new concepts, For self debate",4,Yes,"Inaccurate of information, Generating irrelevant content, Unreliable source",New ideas,4,No,Yes,Yes,,Yes,4,5,Yes,No,Yes,Yes,Yes,Yes,5,Yes,4,5,4,5,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",4,5,2
Sophomore,Engineering,,,South Korea,No,No,Yes,5,Between 30 - 40 hours,Library books / Textbooks,Too much information,Satisfying general knowledge,4,5,2,4,5,4,4,2,1,3,2,4,2,3,3,4,5,5,2,5,"To understand new concepts, To research information, To solve problems",5,Yes,Generating irrelevant content,Providing personal learning needs,5,Yes,Yes,Yes,,No,4,2,No,No,Yes,Yes,Yes,Yes,5,No,1,4,4,3,Intellectual Property (Ex. Usage of unauthorized IP during model training),4,5,2
Junior,Social Science,,,South Korea,No,No,No,3,Between 10 - 20 hours,Google,Irrelevant information,Text summarization,2,5,3,2,5,4,4,4,1,2,2,3,2,2,4,4,5,4,3,2,"To understand new concepts, To write an assignment, To solve problems",5,Yes,Format and structure,Instant response and feedback,5,No,Yes,No,,Yes,3,2,No,Yes,Yes,No,No,Yes,2,Yes,3,4,4,4,"Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents)",4,4,2
Junior,Engineering,,,South Korea,No,No,Yes,4,Less than 10 hours,Google,Incorrect information,Rarely used outside of studying and assignments,3,4,2,3,5,4,3,4,4,3,4,4,2,3,3,4,4,5,3,3,"To understand new concepts, To write an assignment, To research information",4,Yes,"Inaccurate of information, Generating irrelevant content, Format and structure","Problem solving, Instant response and feedback",5,Yes,No,Yes,,No,2,4,Yes,Yes,Yes,No,No,Yes,4,Yes,2,2,3,2,"Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,4,2
Junior,Business Administration,,,South Korea,No,I don't know,No,3,Between 10 - 20 hours,Library books / Textbooks,Time consuming,Language,2,4,3,3,4,3,3,3,3,3,3,4,3,3,4,4,4,4,3,4,"To generate ideas, To understand new concepts, To write an assignment, To research information, To solve problems",4,Yes,"Inaccurate of information, Generating irrelevant content, Unreliable source","New ideas, Instant response and feedback, Providing personal learning needs",4,Yes,Yes,Yes,,Yes,4,4,Yes,Yes,Yes,No,Yes,Yes,4,Yes,3,3,3,3,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",3,4,3
Junior,Education,,,South Korea,I don't know,I don't know,No,1,Between 10 - 20 hours,Library books / Textbooks,Time consuming,Searching for information,3,3,3,3,3,3,3,4,4,4,4,4,2,4,4,5,5,5,5,5,"To write an assignment, To research information",3,Yes,"Generating irrelevant content, Biased or subjective responses",Instant response and feedback,4,No,No,No,,No,3,4,No,Yes,No,No,No,No,2,No,1,1,1,1,"Crime (Ex. Produce scam contents),",3,3,1
Senior,Science,,,South Korea,No,No,Yes,4,Between 10 - 20 hours,Google,Too much information,To create a structure for writing,2,3,3,4,4,4,2,3,2,3,3,4,2,5,5,4,5,4,5,4,To generate ideas,3,Yes,"Inaccurate of information, Generating irrelevant content",Instant response and feedback,3,Yes,Yes,Yes,,No,3,4,Yes,Yes,Yes,No,No,Yes,3,Yes,2,3,4,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,3,4
Junior,Social Science,,,South Korea,No,No,Yes,3,Less than 10 hours,Library books / Textbooks,Too much information,Idea generation,2,4,4,3,4,4,4,4,3,2,4,4,2,3,5,5,4,4,2,3,To generate ideas,4,Yes,"Inaccurate of information, Generating irrelevant content, Unreliable source","New ideas, Providing personal learning needs",4,Yes,Yes,No,,Yes,4,4,No,Yes,No,Yes,Yes,Yes,4,Yes,2,3,1,2,"Biased (Ex. Politically biased information based on trained data), Intellectual Property (Ex. Usage of unauthorized IP during model training)",2,3,2
Junior,Engineering,,,South Korea,No,No,Yes,5,Between 10 - 20 hours,Google,Time consuming,Assignments,3,3,3,2,5,5,5,5,1,1,5,3,3,3,5,5,5,5,3,5,"To write an assignment, To research information, To solve problems",5,Yes,Inaccurate of information,Problem solving,5,Yes,Yes,Yes,,Yes,5,5,Yes,No,Yes,Yes,Yes,No,3,Yes,4,3,3,1,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",3,3,1
Senior,Education,,,South Korea,No,No,Yes,3,Between 10 - 20 hours,Google,"Time consuming, Incorrect information",Resolving curiosity (random questions),2,4,2,2,5,5,4,5,2,2,2,4,2,4,5,5,4,4,3,4,"To generate ideas, To write an assignment, To research information, To solve problems",3,Yes,"Inaccurate of information, Generating irrelevant content, Format and structure, Unreliable source",Instant response and feedback,4,No,No,No,,No,2,4,Yes,Yes,No,Yes,No,No,2,Yes,3,3,3,4,"Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents)",4,4,2
Junior,Engineering,,,South Korea,No,I don't know,No,3,Between 20 - 30 hours,Google,"Incorrect information, Too much information",When searching for things of interest,4,4,3,3,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,4,"To generate ideas, To understand new concepts, To write an assignment, To research information, To solve problems",4,No,,"New ideas, Problem solving, Instant response and feedback, Providing personal learning needs",4,Yes,Yes,Yes,,No,3,4,Yes,Yes,Yes,No,No,Yes,3,No,,3,3,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,4,3
Senior,Social Science,,,South Korea,No,No,No,4,Less than 10 hours,Google,Incorrect information,For more detailed answers to specific questions,3,4,3,2,5,4,5,5,3,5,5,5,2,5,5,5,5,5,2,3,"To understand new concepts, To solve problems",5,Yes,"Inaccurate of information, Generating irrelevant content, Biased or subjective responses, Unreliable source","Instant response and feedback, Providing personal learning needs",5,Yes,No,Yes,,No,4,3,No,Yes,Yes,Yes,Yes,Yes,3,Yes,2,3,2,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,4,2
Sophomore,Medicine,,,South Korea,No,No,No,2,Between 10 - 20 hours,"Friends, collegues, professors",Incorrect information,For casual entertainment,3,3,4,2,4,4,4,3,3,3,3,3,2,4,4,4,2,2,2,2,To write an assignment,3,Yes,Inaccurate of information,"New ideas, Problem solving",2,No,No,Yes,,No,3,4,No,Yes,No,No,No,No,1,Yes,4,1,2,2,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",3,3,3
Sophomore,Engineering,,,South Korea,No,No,No,1,Between 10 - 20 hours,Youtube,Time consuming,"Used out of boredom, like old chat apps",1,3,3,4,4,4,4,3,4,3,3,4,2,4,5,2,2,2,2,4,To write an assignment,4,No,,Instant response and feedback,3,No,No,Yes,,Yes,4,4,No,Yes,No,No,No,Yes,2,Yes,3,2,2,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",3,3,2
Senior,Arts,,,South Korea,No,No,No,1,Less than 10 hours,Youtube,Incorrect information,Resolving curiosity,4,4,3,4,5,5,5,5,5,5,5,3,3,3,4,3,4,4,3,4,"To generate ideas, To write an assignment, To research information",4,Yes,"Inaccurate of information, Unreliable source",Problem solving,4,No,No,No,,No,1,3,No,Yes,No,No,Yes,Yes,2,Yes,3,3,4,2,Biased (Ex. Politically biased information based on trained data),3,3,2
Junior,Engineering,,,South Korea,No,No,Yes,3,Between 20 - 30 hours,Library books / Textbooks,Time consuming,Summarizing and translating,3,4,3,3,5,4,3,3,4,2,3,3,2,3,4,5,4,3,3,4,"To understand new concepts, To write an assignment, To research information",4,Yes,"Inaccurate of information, Generating irrelevant content",Instant response and feedback,4,Yes,No,Yes,,No,3,4,Yes,Yes,Yes,No,Yes,Yes,2,Yes,2,4,4,2,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper)",4,4,3
Senior,Medicine,,,South Korea,No,Yes,No,3,Between 20 - 30 hours,Google,Incorrect information,Recommending menu options,2,4,2,4,5,4,4,4,4,5,4,2,4,2,4,4,3,2,4,3,To research information,4,Yes,"Inaccurate of information, Unreliable source",Instant response and feedback,4,No,Yes,No,,No,3,4,Yes,Yes,Yes,No,No,Yes,3,Yes,2,3,1,3,"Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",3,3,3
Senior,Arts,,,South Korea,No,No,Yes,4,Between 30 - 40 hours,Google,"Incorrect information, Irrelevant information, Too much information",Helps expand thinking,2,3,3,2,4,2,2,2,1,1,2,4,4,4,5,3,4,3,3,4,To generate ideas,5,Yes,"Inaccurate of information, Generating irrelevant content, Format and structure, Unreliable source","New ideas, Problem solving",4,Yes,Yes,Yes,,Yes,4,5,Yes,Yes,No,Yes,Yes,No,3,Yes,4,4,3,4,"Biased (Ex. Politically biased information based on trained data), Plagiarism (Ex. Writing report paper), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,4,3
Junior,Engineering,,,South Korea,I don't know,I don't know,Yes,4,Between 30 - 40 hours,Youtube,Incorrect information,Feels like extracting essence,2,3,2,2,5,3,4,4,4,4,4,2,4,3,3,4,4,5,5,2,"To write an assignment, To research information, To solve problems",5,Yes,코드같은거를 주로 찾아보는데 창의성이 없음,Instant response and feedback,3,No,Yes,Yes,,Yes,3,5,No,Yes,Yes,Yes,Yes,Yes,4,Yes,2,4,4,4,Plagiarism (Ex. Writing report paper),3,3,4
Freshman,Arts,,,South Korea,No,No,No,2,Between 10 - 20 hours,"Friends, collegues, professors",Incorrect information,Coding-related tasks are delegated,3,5,5,5,5,5,3,4,4,4,2,3,2,5,5,5,5,5,5,4,"To generate ideas, To research information",2,Yes,Generating irrelevant content,"Problem solving, Instant response and feedback",4,Yes,No,Yes,,Yes,4,2,No,No,Yes,No,Yes,Yes,5,No,2,3,4,5,Intellectual Property (Ex. Usage of unauthorized IP during model training),4,5,1
Freshman,Social Science,,,South Korea,I don't know,No,Yes,4,Between 10 - 20 hours,Youtube,Incorrect information,When quick information organization is needed,4,5,3,2,5,3,3,4,3,5,4,3,4,3,5,4,4,5,3,2,"To understand new concepts, To write an assignment, To research information, To solve problems",4,Yes,"Inaccurate of information, Generating irrelevant content, Unreliable source","New ideas, Problem solving, Instant response and feedback, Providing personal learning needs",5,No,Yes,Yes,,No,4,1,No,No,"Yes, No",Yes,Yes,No,4,Yes,4,4,5,4,"Plagiarism (Ex. Writing report paper), Crime (Ex. Produce scam contents), Intellectual Property (Ex. Usage of unauthorized IP during model training)",4,4,2
Senior,Engineering,,,South Korea,No,No,No,3,Less than 10 hours,Google,"Incorrect information, Irrelevant information, Too much information",When needing suggestions for variable names,2,3,2,2,4,3,3,3,3,3,1,3,2,3,3,3,3,2,2,2,"To understand new concepts, To write an assignment, To research information",2,Yes,"Inaccurate of information, Generating irrelevant content","Problem solving, Instant response and feedback",3,Yes,Yes,No,,Yes,2,2,No,Yes,No,No,Yes,No,2,Yes,4,2,2,3,Plagiarism (Ex. Writing report paper),3,3,3
